State_Year,Year,State,Sheltered_Cnt,Unsheltered_Cnt,Other_Cnt
2014_DC,2014,DC,18467,1493,19960
2014_DE,2014,DE,1981,96,2077
2014_FL,2014,FL,45932,57682,103614
2014_GA,2014,GA,18965,21528,40493
2014_GU,2014,GU,258,2624,2882
2014_HI,2014,HI,8271,8760,17031
2014_IA,2014,IA,6337,597,6934
2014_ID,2014,ID,3281,1630,4911
2014_IL,2014,IL,25751,4673,30424
2014_IN,2014,IN,12793,1066,13859
2014_KS,2014,KS,5321,597,5918
2014_KY,2014,KY,10072,2160,12232
2014_LA,2014,LA,7862,3339,11201
2014_MA,2014,MA,48202,2158,50360
2014_MD,2014,MD,15359,4487,19846
2014_ME,2014,ME,5840,252,6092
2014_MI,2014,MI,22794,5368,28162
2014_MN,2014,MN,17205,2336,19541
2014_MO,2014,MO,15136,2755,17891
2014_MS,2014,MS,3189,2106,5295
2014_MT,2014,MT,2070,2216,4286
2014_NC,2014,NC,20170,6838,27008
2014_ND,2014,ND,1907,990,2897
2014_NE,2014,NE,6852,293,7145
2014_NH,2014,NH,3220,379,3599
2014_NJ,2014,NJ,24040,2730,26770
2014_NM,2014,NM,5874,1354,7228
2014_NV,2014,NV,10348,9262,19610
2014_NY,2014,NY,164625,13521,178146
2014_OH,2014,OH,24560,3284,27844
2014_OK,2014,OK,7623,2509,10132
2014_OR,2014,OR,14058,16952,31010
2014_PA,2014,PA,32206,3085,35291
2014_PR,2014,PR,3245,9232,12477
2014_RI,2014,RI,2844,52,2896
2014_SC,2014,SC,7097,4266,11363
2014_SD,2014,SD,1972,166,2138
2014_TN,2014,TN,16414,7948,24362
2014_TX,2014,TX,42494,28046,70540
2014_UT,2014,UT,6589,734,7323
2014_VA,2014,VA,14655,2047,16702
2014_VI,2014,VI,173,931,1104
2014_VT,2014,VT,3359,445,3804
2014_WA,2014,WA,28427,14960,43387
2014_WI,2014,WI,12814,864,13678
2014_WV,2014,WV,4077,1246,5323
2014_WY,2014,WY,1429,489,1918
2015_AK,2015,AK,3892,1011,4903
2015_AL,2015,AL,7028,3141,10169
2015_AR,2015,AR,4633,2629,7262
2015_AZ,2015,AZ,16635,8877,25512
2015_CA,2015,CA,106048,224893,330941
2015_CO,2015,CO,17885,8425,26310
2015_CT,2015,CT,7968,1973,9941
2015_DC,2015,DC,18456,1804,20260
2015_DE,2015,DE,2251,91,2342
2015_FL,2015,FL,46271,48356,94627
2015_GA,2015,GA,18837,15915,34752
2015_GU,2015,GU,177,2760,2937
2015_HI,2015,HI,8552,11337,19889
2015_IA,2015,IA,7112,552,7664
2015_ID,2015,ID,3641,1363,5004
2015_IL,2015,IL,26247,8045,34292
2015_IN,2015,IN,13361,1662,15023
2015_KS,2015,KS,5041,829,5870
2015_KY,2015,KY,9565,1761,11326
2015_LA,2015,LA,7397,3708,11105
2015_MA,2015,MA,50341,1762,52103
2015_MD,2015,MD,16916,5727,22643
2015_ME,2015,ME,5639,161,5800
2015_MI,2015,MI,23797,3046,26843
2015_MN,2015,MN,17921,2651,20572
2015_MO,2015,MO,14234,3299,17533
2015_MS,2015,MS,2640,2243,4883
2015_MT,2015,MT,1989,2517,4506
2015_NC,2015,NC,20034,6807,26841
2015_ND,2015,ND,2129,1217,3346
2015_NE,2015,NE,6608,410,7018
2015_NH,2015,NH,3544,410,3954
2015_NJ,2015,NJ,23203,3025,26228
2015_NM,2015,NM,5908,1564,7472
2015_NV,2015,NV,10552,13772,24324
2015_NY,2015,NY,192856,13480,206336
2015_OH,2015,OH,25167,3299,28466
2015_OK,2015,OK,7752,2427,10179
2015_OR,2015,OR,15620,23443,39063
2015_PA,2015,PA,34789,4288,39077
2015_PR,2015,PR,3522,9663,13185
2015_RI,2015,RI,2683,114,2797
2015_SC,2015,SC,8893,5147,14040
2015_SD,2015,SD,2364,385,2749
2015_TN,2015,TN,14947,9114,24061
2015_TX,2015,TX,39858,21905,61763
2015_UT,2015,UT,6661,564,7225
2015_VA,2015,VA,15487,2540,18027
2015_VI,2015,VI,190,586,776
2015_VT,2015,VT,3358,444,3802
2015_WA,2015,WA,29870,18878,48748
2015_WI,2015,WI,13711,1207,14918
2015_WV,2015,WV,3744,1368,5112
2015_WY,2015,WY,1264,766,2030
2016_AK,2016,AK,3598,1068,4666
2016_AL,2016,AL,6886,3164,10050
2016_AR,2016,AR,4116,2479,6595
2016_AZ,2016,AZ,15909,9031,24940
2016_CA,2016,CA,99971,234287,334258
2016_CO,2016,CO,19245,8531,27776
2016_CT,2016,CT,7601,1806,9407
2016_DC,2016,DC,21198,1210,22408
2016_DE,2016,DE,2417,120,2537
2016_FL,2016,FL,44094,43029,87123
2016_GA,2016,GA,17828,14430,32258
2016_GU,2016,GU,241,2105,2346
2016_HI,2016,HI,8082,13215,21297
2016_IA,2016,IA,6971,416,7387
2016_ID,2016,ID,3797,2025,5822
2016_IL,2016,IL,23854,4908,28762
2016_IN,2016,IN,12482,2008,14490
2016_KS,2016,KS,4320,684,5004
2016_KY,2016,KY,8570,1875,10445
2016_LA,2016,LA,7125,3398,10523
2016_MA,2016,MA,45206,2164,47370
2016_MD,2016,MD,15314,4426,19740
