State_Year,STATE,YEAR,TOTAL_REVENUE,TOTAL_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G
1995_MO,MO,1995,4852467.0,4957215.0,16225.0,68513.0,68159.0,66493.0,52939.0,0.0,0.0,889881.0
1995_MT,MT,1995,911284.0,899635.0,519.0,12214.0,12899.0,13342.0,10897.0,0.0,0.0,165547.0
1995_NE,NE,1995,1832463.0,1874253.0,3853.0,22282.0,21886.0,23016.0,19275.0,0.0,0.0,289744.0
1995_NV,NV,1995,1367710.0,1381200.0,1631.0,22074.0,21784.0,19970.0,14143.0,0.0,0.0,265041.0
1995_NH,NH,1995,1197945.0,1232465.0,1357.0,8859.0,16275.0,15487.0,10996.0,0.0,0.0,194171.0
1995_NJ,NJ,1995,11870183.0,11961696.0,9301.0,93978.0,88686.0,81997.0,65647.0,0.0,0.0,1197381.0
1995_NM,NM,1995,1646265.0,1540683.0,3426.0,24329.0,24200.0,25893.0,17078.0,0.0,0.0,329640.0
1995_NY,NY,1995,25063999.0,26540967.0,32087.0,216112.0,203089.0,194347.0,142841.0,0.0,0.0,2813230.0
1995_NC,NC,1995,6076939.0,6217951.0,9013.0,100525.0,90795.0,88056.0,59653.0,0.0,0.0,1183090.0
1995_ND,ND,1995,642234.0,621904.0,551.0,8573.0,9017.0,9859.0,8513.0,0.0,0.0,119100.0
1995_OH,OH,1995,11368650.0,11330046.0,18997.0,141589.0,138942.0,142469.0,114879.0,0.0,0.0,1836015.0
1995_OK,OK,1995,3156526.0,3180275.0,5470.0,48635.0,47407.0,49012.0,35733.0,0.0,0.0,616393.0
1995_OR,OR,1995,3302062.0,3255984.0,855.0,39875.0,41721.0,42141.0,33202.0,0.0,0.0,527914.0
1995_PA,PA,1995,13957035.0,14135826.0,3502.0,134584.0,137850.0,136069.0,111050.0,0.0,0.0,1787533.0
1995_RI,RI,1995,1089859.0,1056716.0,531.0,10947.0,11596.0,11032.0,8263.0,0.0,0.0,149799.0
1995_SC,SC,1995,3389646.0,3286673.0,8067.0,39964.0,50860.0,51308.0,34800.0,0.0,0.0,645586.0
1995_SD,SD,1995,684882.0,693964.0,1475.0,10609.0,10937.0,11654.0,9116.0,0.0,0.0,144685.0
1995_TN,TN,1995,3870164.0,3958973.0,11168.0,73962.0,67705.0,66513.0,49319.0,0.0,0.0,893770.0
1995_TX,TX,1995,20483376.0,20198924.0,133754.0,281708.0,292191.0,284875.0,186229.0,0.0,0.0,3748167.0
1995_UT,UT,1995,1953833.0,2045331.0,3455.0,34645.0,34598.0,38090.0,32006.0,0.0,0.0,477121.0
1995_VT,VT,1995,934916.0,891398.0,1111.0,7953.0,8287.0,8006.0,6507.0,0.0,0.0,105565.0
1995_VA,VA,1995,6354418.0,6590998.0,3111.0,87618.0,82797.0,81254.0,62204.0,0.0,0.0,1079854.0
1995_WA,WA,1995,5985425.0,6200754.0,5984.0,73581.0,75186.0,75052.0,59612.0,0.0,0.0,956572.0
1995_WV,WV,1995,1916605.0,1925100.0,3499.0,22577.0,22178.0,25089.0,21844.0,0.0,0.0,307112.0
1995_WI,WI,1995,6006745.0,6056854.0,18045.0,62859.0,65427.0,65788.0,57791.0,0.0,0.0,870175.0
1995_WY,WY,1995,634237.0,642935.0,0.0,7135.0,7577.0,8302.0,6679.0,0.0,0.0,99859.0
1996_AL,AL,1996,3365113.0,3572283.0,9633.0,60949.0,57098.0,58305.0,42510.0,0.0,0.0,747932.0
1996_AK,AK,1996,1120346.0,1240031.0,2186.0,10451.0,10055.0,9627.0,7370.0,0.0,0.0,129919.0
1996_AZ,AZ,1996,4143304.0,4391555.0,4495.0,64613.0,62793.0,60514.0,42041.0,0.0,0.0,799250.0
